Date,Close,High,Low,Open,Volume,Ticker
,SPY,SPY,SPY,SPY,SPY,
2018-01-02,237.2082061767578,237.24351649993596,235.99909021328455,236.38742296658933,86655700,SPY
2018-01-03,238.70863342285156,238.85868212627466,237.37594452581794,237.37594452581794,90070400,SPY
2018-01-04,239.71469116210938,240.20012055188528,238.77036225821254,239.35286136561325,80636400,SPY
2018-01-05,241.31216430664062,241.43571003090116,240.01478606554477,240.50902283035427,83524000,SPY
2018-01-08,241.7534637451172,241.91231980048295,240.92384621080444,241.21508231230837,57319200,SPY
2018-01-09,242.30064392089844,242.92726073953824,241.89464254870086,242.1770712596511,57254000,SPY
2018-01-10,241.9299774169922,242.19476446057965,240.87091004430349,241.54164463350688,69574300,SPY
2018-01-11,243.69512939453125,243.69512939453125,242.31832288424823,242.48601327379833,62361500,SPY
2018-01-12,245.28379821777344,245.45146169208246,243.65984616636987,243.9599435849644,90816100,SPY
2018-01-16,244.4452667236328,247.19887915543404,243.74802930215662,246.54578636770452,106555100,SPY
2018-01-17,246.77523803710938,247.1635707609154,244.4452686281561,245.38079011717528,113258800,SPY
2018-01-18,246.3604736328125,247.08416018383002,245.86620991262484,246.66054404350461,100728000,SPY
2018-01-19,247.48130798339844,247.48130798339844,246.360454454197,246.94292660180025,140920100,SPY
2018-01-22,249.49359130859375,249.49359130859375,247.21654675865042,247.26952571147552,91322400,SPY
2018-01-23,250.02313232421875,250.31436842127192,249.21115649717146,249.5377029172836,97084700,SPY
2018-01-24,249.92608642578125,251.26760963561836,248.743446235034,250.6674417572695,134816100,SPY
2018-01-25,250.03201293945312,250.88810672066205,249.2377055082235,250.79103697117404,84587300,SPY
2018-01-26,252.92674255371094,252.9708871867887,250.61441489111698,250.87036757454462,107743100,SPY
2018-01-29,251.24990844726562,252.79440525454027,251.09105238265022,252.3531204524618,90118300,SPY
2018-01-30,248.6728515625,251.3028920759889,248.196256374824,249.4142068911681,131796400,SPY
2018-01-31,248.79635620117188,250.03194821142603,247.71962024926057,249.52890402667362,108364800,SPY
2018-02-01,248.5138702392578,249.82008259719692,247.71956319659571,248.06377817761438,90102500,SPY
2018-02-02,243.1038055419922,247.32248712571183,243.06849521672927,247.1900801394475,173174800,SPY
2018-02-05,232.9365692138672,243.45680984544458,232.3893804155694,241.33864836363057,294681800,SPY
2018-02-06,237.52593994140625,238.0290110334515,228.32074628425286,229.41512387350136,355026800,SPY
2018-02-07,236.23741149902344,240.37663805301835,236.15795653494666,236.96993240003917,167376100,SPY
2018-02-08,227.3764190673828,236.67871054920792,227.34110874054193,236.53749617573212,246449500,SPY
2018-02-09,230.79196166992188,232.65417068859074,223.21951251611446,230.1741521461986,283565300,SPY
2018-02-12,234.18099975585938,235.65490274640032,230.93315029553423,232.84831112453494,143736000,SPY
2018-02-13,234.76348876953125,235.3106775542343,232.38937464192566,232.97187374838228,81223600,SPY
