Date,Close,High,Low,Open,Volume,Ticker
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,
2018-01-02,53.25809860229492,53.39556020053394,52.25617025270984,52.25617025270984,31766000,GOOGL
2018-01-03,54.16672897338867,54.394011768856736,53.269012854206274,53.29382310488846,31318000,GOOGL
2018-01-04,54.377132415771484,54.79001311486378,54.302697884133785,54.44313532472571,26052000,GOOGL
2018-01-05,55.09819030761719,55.2614578852317,54.67687416456261,54.758755942293035,30250000,GOOGL
2018-01-08,55.292720794677734,55.53836613302585,55.08380053427195,55.13342482258022,24644000,GOOGL
2018-01-09,55.22226333618164,55.50264610196105,54.994484520760594,55.50264610196105,26808000,GOOGL
2018-01-10,55.09075164794922,55.2217617465006,54.78506268002627,54.93492751056001,20734000,GOOGL
2018-01-11,55.1855354309082,55.324484959266414,54.90912430783334,55.19843842798299,22424000,GOOGL
2018-01-12,56.108558654785156,56.14081235967413,54.985047659986655,55.088763822884715,38586000,GOOGL
2018-01-16,56.11103439331055,57.01321804347467,55.91054955839521,56.58793031622211,36462000,GOOGL
2018-01-17,56.52788543701172,56.53880073484241,55.75323625305388,56.39191179625855,27830000,GOOGL
2018-01-18,56.372562408447266,56.60182911673487,55.80137765608824,56.540293788359044,27498000,GOOGL
2018-01-19,56.746238708496094,56.76013366064309,56.20036396582539,56.47479116377378,30552000,GOOGL
2018-01-22,57.7714958190918,57.90647752409935,56.662871675936096,56.762124043174204,29550000,GOOGL
2018-01-23,58.36749267578125,58.48361586672038,57.92483808376147,58.09207350050602,39138000,GOOGL
2018-01-24,58.12531661987305,58.90740931133954,57.932275229255815,58.80468510693005,37128000,GOOGL
2018-01-25,58.66374969482422,58.805678869563444,58.15261233236536,58.592787000499854,29984000,GOOGL
2018-01-26,58.93272018432617,58.93272018432617,57.96354533212695,58.931232250686385,42170000,GOOGL
2018-01-29,58.879127502441406,59.45080826013059,58.75903270702499,58.954557786460356,31494000,GOOGL
2018-01-30,58.42704391479492,58.95108431301713,58.28511472940525,58.44441449933271,37338000,GOOGL
2018-01-31,58.667720794677734,58.871185296619764,58.165514824076666,58.746622920105196,36022000,GOOGL
2018-02-01,58.63645935058594,58.927265193905875,58.02954521955925,58.35856029058407,73514000,GOOGL
2018-02-02,55.54035186767578,56.140814483925396,55.14186204237714,55.94826905865259,117842000,GOOGL
2018-02-05,52.721153259277344,55.33143180962722,52.440774316330746,54.61782187208808,83550000,GOOGL
2018-02-06,53.81488800048828,53.961280974732674,51.11429238235661,51.31130538623033,76630000,GOOGL
2018-02-07,52.3747673034668,53.91909841373883,52.3355623378705,53.84168422430885,51942000,GOOGL
2018-02-08,50.00766372680664,52.79758122258156,49.85829107627344,52.59610438690052,66792000,GOOGL
2018-02-09,51.92119598388672,52.19165157410531,49.47616901467817,50.9093405758253,98360000,GOOGL
2018-02-12,52.33259201049805,52.878962767049636,51.8824939696113,52.43730013636036,56240000,GOOGL
2018-02-13,52.311744689941406,52.66309009287061,51.953451811130186,52.106296280534515,31586000,GOOGL
2018-02-14,53.2327880859375,53.370249682886836,52.09637780222555,52.3206809627639,41304000,GOOGL
2018-02-15,54.158790588378906,54.294764243227036,52.96133723775234,53.76625629569793,37396000,GOOGL
